date,variable,last,day,year,date20
2021-03-25,gasOil,1.163,84,2021,2020-03-25
2021-03-26,euroSuper95,1.209,85,2021,2020-03-26
2021-03-26,gasOil,1.163,85,2021,2020-03-26
2021-03-27,euroSuper95,1.209,86,2021,2020-03-27
2021-03-27,gasOil,1.163,86,2021,2020-03-27
2021-03-28,euroSuper95,1.209,87,2021,2020-03-28
2021-03-28,gasOil,1.163,87,2021,2020-03-28
2021-03-29,euroSuper95,1.214,88,2021,2020-03-29
2021-03-29,gasOil,1.167,88,2021,2020-03-29
2021-03-30,euroSuper95,1.214,89,2021,2020-03-30
2021-03-30,gasOil,1.167,89,2021,2020-03-30
2021-03-31,euroSuper95,1.214,90,2021,2020-03-31
2021-03-31,gasOil,1.167,90,2021,2020-03-31
2021-04-01,euroSuper95,1.214,91,2021,2020-04-01
2021-04-01,gasOil,1.167,91,2021,2020-04-01
2021-04-02,euroSuper95,1.214,92,2021,2020-04-02
2021-04-02,gasOil,1.167,92,2021,2020-04-02
2021-04-03,euroSuper95,1.214,93,2021,2020-04-03
2021-04-03,gasOil,1.167,93,2021,2020-04-03
2021-04-04,euroSuper95,1.214,94,2021,2020-04-04
2021-04-04,gasOil,1.167,94,2021,2020-04-04
2021-04-05,euroSuper95,1.214,95,2021,2020-04-05
2021-04-05,gasOil,1.167,95,2021,2020-04-05
2021-04-06,euroSuper95,1.214,96,2021,2020-04-06
2021-04-06,gasOil,1.167,96,2021,2020-04-06
2021-04-07,euroSuper95,1.214,97,2021,2020-04-07
2021-04-07,gasOil,1.167,97,2021,2020-04-07
