date,value
2016-07-16,0.107081352
2016-07-17,0.125062179
2016-07-18,0.121624427
2016-07-19,0.121297175
2016-07-20,0.120293385
2016-07-21,0.116976953
2016-07-22,0.1031174
2016-07-23,0.097888109
2016-07-24,0.110480265
2016-07-25,0.115442948
2016-07-26,0.115660946
2016-07-27,0.109909565
2016-07-28,0.107560223
2016-07-29,0.094319475
2016-07-30,0.090673495
2016-07-31,0.106024674
2016-08-01,0.108470719
2016-08-02,0.107911077
2016-08-03,0.121072059
2016-08-04,0.108977869
2016-08-05,0.0980467
2016-08-06,0.093870836
2016-08-07,0.11942464
2016-08-08,0.116763506
2016-08-09,0.116728448
2016-08-10,0.121114885
2016-08-11,0.121059253
2016-08-12,0.104845427
2016-08-13,0.098435575
2016-08-14,0.101114562
2016-08-15,0.117362338
2016-08-16,0.119131908
2016-08-17,0.124564257
2016-08-18,0.126704565
2016-08-19,0.10440435
2016-08-20,0.10335302
2016-08-21,0.124941046
2016-08-22,0.126938095
2016-08-23,0.127085217
2016-08-24,0.123398959
2016-08-25,0.123920889
2016-08-26,0.107759272
2016-08-27,0.104885807
2016-08-28,0.156871511
2016-08-29,0.130256027
2016-08-30,0.144372423
2016-08-31,0.163072281
2016-09-01,0.140156075
2016-09-02,0.120846919
2016-09-03,0.105548737
2016-09-04,0.130209039
2016-09-05,0.146354234
2016-09-06,0.145884544
2016-09-07,0.146279263
2016-09-08,0.13970245
2016-09-09,0.127321249
2016-09-10,0.120611618
2016-09-11,0.165835568
2016-09-12,0.161276762
2016-09-13,0.196076507
2016-09-14,0.178964107
2016-09-15,0.154870734
2016-09-16,0.143796162
2016-09-17,0.128744749
2016-09-18,0.164455387
2016-09-19,0.166569343
2016-09-20,0.172550732
2016-09-21,0.172053865
2016-09-22,0.167087657
2016-09-23,0.15463859
2016-09-24,0.146003365
2016-09-25,0.184595571
2016-09-26,0.1911887
2016-09-27,0.247701861
2016-09-28,0.239867104
2016-09-29,0.186891257
2016-09-30,0.148781734
2016-10-01,0.150105288
2016-10-02,0.18164507
2016-10-03,0.227842112
2016-10-04,0.272000972
2016-10-05,0.261457786
2016-10-06,0.250676867
2016-10-07,0.21887384
2016-10-08,0.212775301
2016-10-09,0.296946605
2016-10-10,0.305089093
2016-10-11,0.300760713
2016-10-12,0.286952073
2016-10-13,0.26381165
2016-10-14,0.212943902
2016-10-15,0.187021374
2016-10-16,0.23615021
2016-10-17,0.274293348
2016-10-18,0.250285241
2016-10-19,0.262835603
2016-10-20,0.279315771
2016-10-21,0.250408858
2016-10-22,0.246226825
2016-10-23,0.258696285
2016-10-24,0.259029604
2016-10-25,0.229258404
2016-10-26,0.259993284
2016-10-27,0.310386125
2016-10-28,0.272966346
2016-10-29,0.246769229
2016-10-30,0.269153109
2016-10-31,0.273362127
2016-11-01,0.364053737
2016-11-02,0.328737018
2016-11-03,0.351216403
2016-11-04,0.292595089
2016-11-05,0.276365824
2016-11-06,0.358541682
2016-11-07,0.406294676
2016-11-08,0.394801488
2016-11-09,0.382393069
2016-11-10,0.363265524
2016-11-11,0.350680404
2016-11-12,0.350596285
2016-11-13,0.400970596
2016-11-14,0.434192771
2016-11-15,0.435199627
2016-11-16,0.368409346
2016-11-17,0.367633615
2016-11-18,0.274341172
2016-11-19,0.256715204
2016-11-20,0.319988376
2016-11-21,0.284360615
2016-11-22,0.297398885
2016-11-23,0.29873191
2016-11-24,0.302573567
2016-11-25,0.296704801
2016-11-26,0.286813506
2016-11-27,0.35877181
2016-11-28,0.411872958
2016-11-29,0.440633873
2016-11-30,0.417326598
2016-12-01,0.388793131
2016-12-02,0.356659952
2016-12-03,0.366259016
2016-12-04,0.431656654
2016-12-05,0.454641883
2016-12-06,0.473203028
2016-12-07,0.464433851
2016-12-08,0.406865091
2016-12-09,0.363444451
2016-12-10,0.337892597
2016-12-11,0.359371186
2016-12-12,0.408572025
2016-12-13,0.432395873
2016-12-14,0.41283204
