date,price
2021-11-01,66.568
2021-11-02,65.719
2021-11-03,66.741
2021-11-04,75.357
2021-11-05,73.975
2021-11-06,72.377
2021-11-07,72.377
2021-11-08,72.285
2021-11-09,76.87
2021-11-10,74.656
2021-11-11,67.221
2021-11-12,72.144
2021-11-13,74.302
2021-11-14,74.302
2021-11-15,74.317
2021-11-16,79.107
2021-11-17,89.277
2021-11-18,97.597
2021-11-19,92.528
2021-11-20,87.504
2021-11-21,87.504
2021-11-22,87.249
2021-11-23,84.277
2021-11-24,90.107
2021-11-25,91.984
2021-11-26,93.466
2021-11-27,89.674
2021-11-28,89.674
2021-11-29,90.326
2021-11-30,93.945
2021-12-01,97.089
2021-12-02,95.34
2021-12-03,93.004
2021-12-04,91.188
2021-12-05,91.188
2021-12-06,92.311
2021-12-07,90.708
2021-12-08,96.423
2021-12-09,102.946
2021-12-10,102.225
2021-12-11,104.556
2021-12-12,104.556
2021-12-13,105.172
2021-12-14,117.149
2021-12-15,123.944
2021-12-16,128.831
2021-12-17,135.288
2021-12-18,135.504
2021-12-19,135.504
2021-12-20,136.307
2021-12-21,147.823
2021-12-22,177.402
2021-12-23,175.991
2021-12-24,137.095
2021-12-25,105.326
2021-12-26,105.326
2021-12-27,105.326
2021-12-27,106.172
2021-12-28,105.326
2021-12-28,105.396
2021-12-29,105.652
2021-12-30,97.446
2021-12-31,84.956
2022-01-01,72.345
2022-01-02,72.345
2022-01-03,72.345
2022-01-04,73.681
2022-01-05,91.863
2022-01-06,92.737
2022-01-07,95.306
2022-01-08,91.798
2022-01-09,91.798
2022-01-10,92.046
2022-01-11,89.692
2022-01-12,85.004
2022-01-13,84.712
2022-01-14,84.291
2022-01-15,90.782
2022-01-16,90.782
2022-01-17,91.914
2022-01-18,83.172
2022-01-19,80.35
2022-01-20,77.1
2022-01-21,77.297
2022-01-22,80.546
2022-01-23,80.546
2022-01-24,82.48
2022-01-25,96.01
2022-01-26,96.65
2022-01-27,93.814
2022-01-28,93.973
2022-01-29,93.741
2022-01-30,93.741
2022-01-31,93.955
2022-02-01,87.888
2022-02-02,77.633
2022-02-03,79.709
2022-02-04,80.328
2022-02-05,83.331
2022-02-06,83.331
2022-02-07,83.697
2022-02-08,80.068
2022-02-09,81.618
2022-02-10,78.696
2022-02-11,76.534
2022-02-12,76.387
2022-02-13,76.387
2022-02-14,77.17
2022-02-15,83.222
2022-02-16,75.768
2022-02-17,71.268
2022-02-18,74.393
2022-02-19,73.167
2022-02-20,73.167
2022-02-21,73.394
2022-02-22,74.349
2022-02-23,80.074
2022-02-24,87.556
2022-02-25,126.425
2022-02-26,98.09
2022-02-27,98.09
2022-02-28,99.336
2022-03-01,106.493
2022-03-02,118.396
2022-03-03,167.857
2022-03-04,164.327
2022-03-05,189.335
2022-03-06,189.335
2022-03-07,191.324
2022-03-08,251.728
2022-03-09,213.614
2022-03-10,164.828
2022-03-11,137.998
2022-03-12,126.085
2022-03-13,126.085
2022-03-14,128.652
2022-03-15,117.543
2022-03-16,117.958
2022-03-17,107.905
2022-03-18,105.834
2022-03-19,101.462
2022-03-20,101.462
2022-03-21,102.104
2022-03-22,98.281
2022-03-23,96.746
2022-03-24,108.984
2022-03-25,113.743
2022-03-26,101.51
2022-03-27,101.51
2022-03-28,102.842
2022-03-29,102.563
2022-03-30,110.624
2022-03-31,120.08
2022-04-01,121.843
2022-04-02,120.684
2022-04-03,120.684
2022-04-04,120.889
2022-04-05,112.653
2022-04-06,110.486
2022-04-07,109.632
2022-04-08,105.866
2022-04-09,107.457
2022-04-10,107.457
2022-04-11,108.41
2022-04-12,105.197
2022-04-13,106.395
2022-04-14,107.841
2022-04-15,100.269
2022-04-16,100.269
2022-04-17,100.269
2022-04-18,100.269
2022-04-19,100.812
2022-04-20,98.183
2022-04-21,100.892
2022-04-22,101.062
2022-04-23,98.305
2022-04-24,98.305
2022-04-25,97.678
2022-04-26,99.673
2022-04-27,95.927
2022-04-28,109.391
2022-04-29,103.602
2022-04-30,101.059
2022-05-01,101.059
2022-05-02,101.059
2022-05-03,101.451
2022-05-04,100.221
2022-05-05,104.524
2022-05-06,103.984
2022-05-07,96.396
2022-05-08,96.396
2022-05-09,98.472
2022-05-10,93.622
2022-05-11,90.421
2022-05-12,92.864
2022-05-13,103.25
2022-05-14,93.854
2022-05-15,93.854
2022-05-16,94.699
2022-05-17,95.796
2022-05-18,95.657
2022-05-19,97.003
2022-05-20,94.125
2022-05-21,88.031
2022-05-22,88.031
2022-05-23,89.194
2022-05-24,82.917
2022-05-25,84.882
2022-05-26,85.383
2022-05-27,85.407
2022-05-28,84.561
2022-05-29,84.561
2022-05-30,85.731
2022-05-31,90.886
2022-06-01,92.871
2022-06-02,84.2
2022-06-03,84.2
2022-06-04,84.2
2022-06-05,84.2
2022-06-06,84.395
2022-06-07,81.197
2022-06-08,80.184
2022-06-09,79.202
2022-06-10,85.519
2022-06-11,82.345
2022-06-12,82.345
2022-06-13,83.262
2022-06-14,83.298
2022-06-15,93.376
2022-06-16,106.397
2022-06-17,136.408
2022-06-18,120.417
2022-06-19,120.417
2022-06-20,122.058
2022-06-21,124.004
2022-06-22,125.56
2022-06-23,129.5
2022-06-24,135.821
2022-06-25,132.854
