date,variable,rm7,day,year,date20
2019-08-07,peak,32053.3,219,2019,2020-08-07
2019-08-08,base,61539.8285714286,220,2019,2020-08-08
2019-08-08,peak,33819.8,220,2019,2020-08-08
2019-08-09,base,62045.1857142857,221,2019,2020-08-09
2019-08-09,peak,34385.6142857143,221,2019,2020-08-09
2019-08-10,base,66846.0571428571,222,2019,2020-08-10
2019-08-10,peak,37728.5285714286,222,2019,2020-08-10
2019-08-11,base,69915.9142857143,223,2019,2020-08-11
2019-08-11,peak,40524.0428571429,223,2019,2020-08-11
2019-08-12,base,69946.1428571429,224,2019,2020-08-12
2019-08-12,peak,40893.6857142857,224,2019,2020-08-12
2019-08-13,base,69931.4,225,2019,2020-08-13
2019-08-13,peak,41304.9,225,2019,2020-08-13
2019-08-14,base,70164.2857142857,226,2019,2020-08-14
2019-08-14,peak,41020.9142857143,226,2019,2020-08-14
2019-08-15,base,68543.2428571429,227,2019,2020-08-15
2019-08-15,peak,39253.6142857143,227,2019,2020-08-15
2019-08-16,base,68586.7,228,2019,2020-08-16
2019-08-16,peak,39096.4,228,2019,2020-08-16
2019-08-17,base,67780.4428571429,229,2019,2020-08-17
2019-08-17,peak,38000.1571428572,229,2019,2020-08-17
2019-08-18,base,65192.6142857143,230,2019,2020-08-18
2019-08-18,peak,36743.8,230,2019,2020-08-18
2019-08-19,base,67468.0714285714,231,2019,2020-08-19
2019-08-19,peak,38340.3857142857,231,2019,2020-08-19
2019-08-20,base,68875.4714285714,232,2019,2020-08-20
2019-08-20,peak,37988.0714285714,232,2019,2020-08-20
2019-08-21,base,69594.1571428571,233,2019,2020-08-21
2019-08-21,peak,38587.5428571429,233,2019,2020-08-21
2019-08-22,base,70739.7,234,2019,2020-08-22
2019-08-22,peak,39618.0571428572,234,2019,2020-08-22
2019-08-23,base,72026.9714285714,235,2019,2020-08-23
2019-08-23,peak,40379.9428571429,235,2019,2020-08-23
2019-08-24,base,70397.6285714286,236,2019,2020-08-24
2019-08-24,peak,39905.4,236,2019,2020-08-24
2019-08-25,base,70529.9571428571,237,2019,2020-08-25
2019-08-25,peak,39628.8571428571,237,2019,2020-08-25
2019-08-26,base,68635.8857142857,238,2019,2020-08-26
2019-08-26,peak,37772.9571428571,238,2019,2020-08-26
2019-08-27,base,67203.6714285714,239,2019,2020-08-27
2019-08-27,peak,37059.4285714286,239,2019,2020-08-27
2019-08-28,base,65603.1142857143,240,2019,2020-08-28
2019-08-28,peak,35614,240,2019,2020-08-28
